category,name,price,description,images
GPU's,RTX 4060,599.99,A budget-friendly GPU designed for smooth 1080p gaming. Features DLSS 3 support for enhanced frame rates.,"https://static.ticimax.cloud/cdn-cgi/image/width=558,quality=85/38031/uploads/urunresimleri/buyuk/ekran-kartlari-inno3d-inno3d-rtx4060-t-cad2f1.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=558,quality=85/38031/uploads/urunresimleri/buyuk/ekran-kartlari-inno3d-inno3d-rtx4060-t-2-b193.jpg"
GPU's,RADEON RX 7900 XTX,1099.99,AMD’s flagship graphics card with extreme performance. Ideal for 4K gaming with high frame rates.,"https://www.incehesap.com/resim/urun/202301/63d40b92f06582.18110593_jgeqfhlkpinmo_500.webp,https://www.incehesap.com/resim/urun/202301/63d40b93ccd963.80148836_inlqejhgkofmp_500.webp,https://www.incehesap.com/resim/urun/202301/63d40b96658a04.98965913_nfhgoljimqkep_500.webp"
GPU's,RADEON RX 9070 XT,1399.99, A next-gen powerhouse optimized for demanding workloads. Handles high-resolution gaming with ease.,"https://img-itopya.mncdn.com/cdn/1000/yeni-proje-98081e.jpg,https://img-itopya.mncdn.com/cdn/1000/yeni-proje-2-1b1469.jpg,https://img-itopya.mncdn.com/cdn/1000/yeni-proje-4-d4096b.jpg"
Motherboards,ASUS ROG Z790,499.99,A premium motherboard built for Intel’s latest CPUs. Offers advanced cooling and overclocking features.,"https://cdn03.ciceksepeti.com/cicek/kcm68367687-1/L/asus-rog-z790-maximus-hero-wifi-atx-ddr5-lga1700-anakart-kcm68367687-1-b4c6c785615044288c00919a0fd4f81f.jpg,https://cdn03.ciceksepeti.com/cicek/kcm68367687-1/L/asus-rog-z790-maximus-hero-wifi-atx-ddr5-lga1700-anakart-kcm68367687-1-896d10a091bf446db4e84e4fd30092af.jpg,https://cdn03.ciceksepeti.com/cicek/kcm68367687-1/S/asus-rog-z790-maximus-hero-wifi-atx-ddr5-lga1700-anakart-kcm68367687-1-f1869e62ede042afbf5b60d130d577e9.jpg"
Motherboards,MSI MPG B650,329.99,A reliable AM5 motherboard for Ryzen processors. Designed for stability and future upgrades.,"https://inventus.com.tr/Images/products/v3/13603_04.jpg,https://inventus.com.tr/Images/products/v3/13603_03.jpg,https://inventus.com.tr/Images/products/v3/13603_01.jpg"
Motherboards,GIGABYTE B850,329.99,A well-balanced motherboard with solid connectivity options. Supports high-speed memory and PCIe 5.0.,"https://img-itopya.mncdn.com/cdn/1000/yeni-proje-20-f5e18c.jpg,https://img-itopya.mncdn.com/cdn/1000/yeni-proje-22-b09d4f.jpg,https://img-itopya.mncdn.com/cdn/1000/yeni-proje-23-910251.jpg"
CPU's,Intel i9-14900K,599.99,A beastly CPU with blazing-fast clock speeds. Ideal for gaming streaming and heavy multitasking.,"https://img-itopya.mncdn.com/cdn/1000/yeni-proje-2023-10-17t132033702-798b20.jpg"
CPU's,AMD Ryzen 9 7950X,549.99,AMD’s high-end chip for extreme workloads. Perfect for creators gamers and professionals.,"https://www.incehesap.com/resim/urun/202209/632d5f60d92377.21199178_elimhfngqojkp_500.webp,https://www.incehesap.com/resim/urun/202209/632d5f611208a8.58458379_pmofenhilqkjg.webp"
CPU's,Intel Core i3 9100F,549.99,A budget-friendly processor for everyday tasks. Delivers solid performance for entry-level gaming.,"https://www.incehesap.com/resim/urun/201906/5d02107c2ee31_500.webp"
RAM's,Corsair Vengeance 32GB,149.99,High-speed DDR5 memory built for gaming. Ensures smooth performance in intensive applications.,"https://img-itopya.mncdn.com/cdn/1000/corsair-32gb-2x16gb-vengeance-lpx-siyah-3200mhz-cl16-ddr4-dual-kit-ram-0-594700.jpg,https://img-itopya.mncdn.com/cdn/1000/corsair-32gb-2x16gb-vengeance-lpx-siyah-3200mhz-cl16-ddr4-dual-kit-ram-2-4e43f6.jpg,https://img-itopya.mncdn.com/cdn/1000/corsair-32gb-2x16gb-vengeance-lpx-siyah-3200mhz-cl16-ddr4-dual-kit-ram-32-e0646b.jpg"
RAM's,G.Skill Trident Z5 ROYAL 2x24GB,299.99,A stunning memory kit with a premium design. Offers exceptional speed and stability.,"https://img-itopya.mncdn.com/cdn/1000/yeni-proje-24-803701.png,https://img-itopya.mncdn.com/cdn/1000/yeni-proje-26-ecff01.png"